input,output
"('forma', 'Action', 'tejido escamoso', 'Concept')",target
"('trasplante', 'Action', 'hígado', 'Concept')",target
"('forma', 'Action', 'trasplante', 'Action')",entails
"('síntomas', 'Concept', 'erge', 'Concept')",in-context
"('sólo', 'Predicate', '25 por ciento', 'Concept')",arg
"('sólo', 'Predicate', 'niños', 'Concept')",domain
"('sólo', 'Predicate', 'síntomas', 'Concept')",has-property
"('generan', 'Action', 'habitantes', 'Concept')",subject
"('1,6 millones', 'Predicate', 'desechos', 'Concept')",domain
"('generan', 'Action', 'año', 'Concept')",in-time
"('habitantes', 'Concept', 'estados unidos', 'Concept')",in-place
"('generan', 'Action', '1,6 millones', 'Predicate')",target
"('desechos', 'Concept', 'tóxicos', 'Concept')",in-context
"('desechos', 'Concept', 'domésticos', 'Concept')",in-context
"('1,6 millones', 'Predicate', 'toneladas', 'Concept')",arg
"('presentar', 'Action', 'fiebre', 'Concept')",target
"('presentar', 'Action', 'obstrucción nasal', 'Concept')",target
"('presentar', 'Action', 'tos', 'Concept')",target
"('presentar', 'Action', 'menor de edad', 'Concept')",subject
"('respirar', 'Action', 'dificultades', 'Concept')",in-context
"('respirar', 'Action', 'menor de edad', 'Concept')",subject
"('el', 'Reference', 'virus', 'Concept')",is-a
"('menor de edad', 'Concept', 'el', 'Reference')",in-context
"('uno', 'Predicate', 'lados', 'Predicate')",domain
"('dos', 'Predicate', 'lados', 'Predicate')",domain
"('inflamación', 'Action', 'uno', 'Predicate')",in-place
"('inflamación', 'Action', 'dos', 'Predicate')",in-place
"('esta', 'Reference', 'inflamación', 'Action')",is-a
"('inflamación', 'Action', 'esta', 'Reference')",subject
"('lados', 'Predicate', 'cara', 'Concept')",domain
"('este', 'Reference', 'daño', 'Concept')",is-a
"('este', 'Reference', 'neuropatía diabética', 'Concept')",same-as
"('instituto nacional del corazón los pulmones y la sangre', 'Concept', 'nhlbi', 'Concept')",same-as
"('patrocinados', 'Action', 'instituto nacional del corazón los pulmones y la sangre', 'Concept')",subject
"('patrocinados', 'Action', 'estudios', 'Concept')",target
"('plan', 'Concept', 'alimentación', 'Concept')",in-context
"('estudios', 'Concept', 'investigación', 'Concept')",in-context
"('la', 'Reference', 'dieta', 'Concept')",is-a
"('la', 'Reference', 'plan', 'Concept')",is-a
"('plan', 'Concept', 'patrocinados', 'Action')",in-context
"('entre', 'Predicate', 'tratamientos', 'Concept')",arg
"('producir', 'Action', 'cuerpo', 'Concept')",target
"('producir', 'Action', 'células', 'Concept')",target
"('pausas', 'Action', 'entre', 'Predicate')",in-time
"('pausas', 'Action', 'producir', 'Action')",target
"('células', 'Concept', 'sanas', 'Concept')",in-context
"('destruidos', 'Action', 'glóbulos rojos', 'Concept')",target
"('reponerlos', 'Action', 'cuerpo', 'Concept')",subject
"('reponerlos', 'Action', 'glóbulos rojos', 'Concept')",target
"('destruidos', 'Action', 'antes', 'Predicate')",in-time
"('antes', 'Predicate', 'reponerlos', 'Action')",arg
"('destruidos', 'Action', 'esto', 'Reference')",causes
"('indicador', 'Action', 'salud', 'Concept')",subject
"('indicador', 'Action', 'estado de salud', 'Concept')",target
"('estado de salud', 'Concept', 'general', 'Concept')",in-context
"('salud', 'Concept', 'uñas', 'Concept')",in-place
"('vhh-8', 'Concept', 'virus del herpes humano 8', 'Concept')",same-as
"('infección', 'Action', 'sarcoma de kaposi', 'Concept')",causes
"('infección', 'Action', 'virus del herpes humano 8', 'Concept')",subject
"('sangrado', 'Concept', 'masivo', 'Concept')",in-context
"('dengue', 'Concept', 'síndrome de shock', 'Concept')",causes
"('síndrome de shock', 'Concept', 'sangrado', 'Concept')",causes
"('síndrome de shock', 'Concept', 'shock', 'Concept')",causes
"('trastorno del espectro alcohólico fetal', 'Concept', 'dura', 'Action')",subject
"('dura', 'Action', 'trastorno del espectro alcohólico fetal', 'Concept')",target
"('dura', 'Action', 'vida', 'Concept')",in-time
"('caminar', 'Action', 'problemas', 'Concept')",in-context
"('alteración', 'Action', 'marcha', 'Concept')",target
"('problemas', 'Concept', 'alteración', 'Action')",causes
"('alteración', 'Action', 'caminar', 'Action')",causes
"('ocurren', 'Action', 'invierno', 'Concept')",in-time
"('ocurren', 'Action', 'infecciones', 'Concept')",subject
"('ocurren', 'Action', 'primavera', 'Concept')",in-place
"('causas', 'Predicate', 'trastorno del espectro autista', 'Concept')",arg
"('conocen', 'Action', 'causas', 'Predicate')",target
"('examen', 'Concept', 'diagnóstico', 'Concept')",in-context
"('examen', 'Concept', 'específico', 'Concept')",in-context
"('hay', 'Action', 'examen', 'Concept')",target
"('mayores', 'Predicate', 'personas', 'Concept')",domain
"('mayores', 'Predicate', '18 años', 'Concept')",arg
"('una de cada 10', 'Predicate', 'mayores', 'Predicate')",domain
"('trastorno', 'Concept', 'estado de ánimo', 'Concept')",in-context
"('una de cada 10', 'Predicate', 'trastorno', 'Concept')",has-property
"('superficie', 'Predicate', 'cuerpo', 'Concept')",arg
"('crece', 'Action', 'cabello', 'Concept')",subject
"('crece', 'Action', 'superficie', 'Predicate')",in-place
"('crece', 'Action', 'labios', 'Concept')",in-place
"('crece', 'Action', 'palmas de las manos', 'Concept')",in-place
"('crece', 'Action', 'plantas de los pies', 'Concept')",in-place
"('eag', 'Concept', 'enfermedad por arañazo de gato', 'Concept')",same-as
"('enfermedad por arañazo de gato', 'Concept', 'enfermedad', 'Concept')",is-a
"('bartonella henselae', 'Concept', 'enfermedad por arañazo de gato', 'Concept')",causes
"('bartonella henselae', 'Concept', 'bacteria', 'Concept')",is-a
"('tipo', 'Predicate', 'cáncer', 'Concept')",domain
"('cáncer', 'Concept', 'cabeza', 'Concept')",in-place
"('cáncer', 'Concept', 'cuello', 'Concept')",in-place
"('cáncer de la glándula salival', 'Concept', 'tipo', 'Predicate')",is-a
"('deficiencia', 'Action', 'glucosa -6- fosfato-deshidrogenasa', 'Concept')",target
"('deficiencia', 'Action', 'enfermedad hereditaria', 'Concept')",is-a
"('deficiencia', 'Action', 'deficiencia', 'Action')",same-as
"('deficiencia', 'Action', 'g-6-pd', 'Concept')",target
"('varones', 'Concept', 'deficiencia', 'Action')",in-context
"('varones', 'Concept', 'generalmente', 'Concept')",has-property
"('historia familiar', 'Concept', 'factor de riesgo', 'Concept')",is-a
"('insuficiencia cardiaca', 'Concept', 'problemas', 'Concept')",is-a
"('derrame cerebral', 'Concept', 'problemas', 'Concept')",is-a
"('diabetes', 'Concept', 'problemas', 'Concept')",is-a
"('cáncer', 'Concept', 'problemas', 'Concept')",is-a
"('historia familiar', 'Concept', 'importante', 'Concept')",has-property
"('importante', 'Concept', 'insuficiencia cardiaca', 'Concept')",in-context
"('importante', 'Concept', 'derrame cerebral', 'Concept')",in-context
"('importante', 'Concept', 'diabetes', 'Concept')",in-context
"('importante', 'Concept', 'cáncer', 'Concept')",in-context
"('sobrevivientes', 'Action', 'seguimiento', 'Action')",entails
"('seguimiento', 'Action', 'sobrevivientes', 'Action')",target
"('sobrevivientes', 'Action', 'cáncer', 'Concept')",target
"('grupo a', 'Concept', 'tipos', 'Concept')",is-a
"('grupo b', 'Concept', 'tipos', 'Concept')",is-a
"('tipo', 'Predicate', 'examen de medicina nuclear', 'Concept')",arg
"('gammagrafía de tiroides', 'Concept', 'tipo', 'Predicate')",is-a
"('más', 'Predicate', 'cinco millones y medio', 'Concept')",arg
"('más', 'Predicate', 'estadounidenses', 'Concept')",domain
"('más', 'Predicate', 'incontinencia fecal', 'Concept')",has-property
"('cantidades', 'Predicate', 'diferentes', 'Concept')",in-context
"('cantidades', 'Predicate', 'radiación', 'Concept')",arg
"('absorben', 'Action', 'cantidades', 'Predicate')",target
"('absorben', 'Action', 'tejidos', 'Concept')",subject
"('absorben', 'Action', 'esto', 'Reference')",causes
"('tejidos', 'Concept', 'diferentes', 'Concept')",in-context
"('estrechamiento', 'Action', 'centro', 'Predicate')",in-place
"('vértebras', 'Concept', 'huesos', 'Concept')",same-as
"('centro', 'Predicate', 'columna', 'Concept')",domain
"('huesos', 'Concept', 'columna', 'Concept')",in-place
"('estrechamiento', 'Action', 'vértebras', 'Concept')",in-place
"('estrechamiento', 'Action', 'canales', 'Concept')",in-place
"('canales', 'Concept', 'columna', 'Concept')",in-place
"('hábitos', 'Concept', 'saludables', 'Concept')",in-context
"('alimentación', 'Concept', 'nutritiva', 'Concept')",in-context
"('actividad', 'Concept', 'física', 'Concept')",in-context
"('hábitos', 'Concept', 'sentirte', 'Action')",causes
"('alimentación', 'Concept', 'hábitos', 'Concept')",is-a
"('actividad', 'Concept', 'hábitos', 'Concept')",is-a
"('hábitos', 'Concept', 'verte', 'Action')",causes
"('hábitos', 'Concept', 'esforzarte', 'Action')",causes
"('sentirte', 'Action', 'bien', 'Concept')",in-context
"('verte', 'Action', 'bien', 'Concept')",in-context
"('esforzarte', 'Action', 'escuela', 'Concept')",in-context
"('esforzarte', 'Action', 'trabajo', 'Concept')",in-context
"('esforzarte', 'Action', 'deportes', 'Concept')",in-context
"('recomiendan', 'Action', 'pruebas', 'Action')",target
"('entre', 'Predicate', '65 años', 'Concept')",arg
"('entre', 'Predicate', '75 años', 'Concept')",arg
"('hombres', 'Concept', 'entre', 'Predicate')",in-context
"('personas', 'Concept', 'entre', 'Predicate')",in-time
"('personas', 'Concept', 'antecedentes familiares', 'Concept')",in-context
"('pruebas', 'Action', 'hombres', 'Concept')",target
"('pruebas', 'Action', 'personas', 'Concept')",target
"('hombres', 'Concept', 'fumadores', 'Concept')",in-context
"('hombres', 'Concept', 'personas', 'Concept')",is-a
"('enseñarles', 'Action', 'escuela', 'Concept')",subject
"('enseñarles', 'Action', 'salud', 'Concept')",target
"('promover', 'Action', 'escuela', 'Concept')",subject
"('promover', 'Action', 'hábitos', 'Concept')",target
"('mejoran', 'Action', 'medicamentos', 'Concept')",subject
"('mejoran', 'Action', 'síntomas', 'Concept')",target
"('avanzan', 'Action', 'superficie', 'Concept')",target
"('recambio celular', 'Concept', 'proceso', 'Concept')",is-a
"('más', 'Predicate', 'piel', 'Concept')",domain
"('más', 'Predicate', 'profunda', 'Concept')",arg
"('crecen', 'Action', 'más', 'Predicate')",in-place
"('crecen', 'Action', 'células', 'Concept')",subject
"('avanzan', 'Action', 'células', 'Concept')",subject
"('recambio celular', 'Concept', 'avanzan', 'Action')",same-as
"('células', 'Concept', 'piel', 'Concept')",in-place
"('ocurrir', 'Action', 'psoriasis', 'Concept')",subject
"('ocurrir', 'Action', 'adultos', 'Concept')",target
"('otros', 'Predicate', 'dispositivos', 'Concept')",domain
"('frenillos', 'Concept', 'dispositivos', 'Concept')",is-a
"('enderezar', 'Action', 'dientes', 'Concept')",target
"('enderezar', 'Action', 'frenillos', 'Concept')",target
"('enderezar', 'Action', 'otros', 'Predicate')",target
"('diferente', 'Action', 'odontología cosmética', 'Concept')",subject
"('diferente', 'Action', 'tratamiento', 'Concept')",subject
"('enderezar', 'Action', 'tratamiento', 'Concept')",subject
"('otros', 'Predicate', 'frenillos', 'Concept')",arg
"('tratamiento', 'Concept', 'ortodoncia', 'Concept')",in-context
"('riñones', 'Concept', 'órganos', 'Concept')",is-a
"('puño', 'Concept', 'mano', 'Concept')",in-place
"('tamaño', 'Predicate', 'puño', 'Concept')",arg
"('cada', 'Predicate', 'lado', 'Predicate')",domain
"('lado', 'Predicate', 'columna', 'Concept')",domain
"('arriba', 'Predicate', 'cintura', 'Concept')",domain
"('tamaño', 'Predicate', 'riñones', 'Concept')",arg
"('tamaño', 'Predicate', 'tamaño', 'Predicate')",same-as
"('ubicados', 'Action', 'riñones', 'Concept')",subject
"('ubicados', 'Action', 'cada', 'Predicate')",in-place
"('ubicados', 'Action', 'arriba', 'Predicate')",in-place
"('células', 'Concept', 'islotes', 'Concept')",in-place
"('continuar', 'Action', 'trasplantadas', 'Action')",subject
"('continuar', 'Action', 'trabajo', 'Action')",target
"('trabajo', 'Action', 'destruidas', 'Action')",subject
"('trasplantadas', 'Action', 'células', 'Concept')",subject
"('destruidas', 'Action', 'células', 'Concept')",target
"('tejido', 'Concept', 'esponjoso', 'Concept')",in-context
"('cadera', 'Concept', 'huesos', 'Concept')",is-a
"('fémur', 'Concept', 'huesos', 'Concept')",is-a
"('algunos', 'Predicate', 'huesos', 'Concept')",domain
"('dentro', 'Predicate', 'algunos', 'Predicate')",arg
"('tejido', 'Concept', 'dentro', 'Predicate')",in-place
"('médula ósea', 'Concept', 'tejido', 'Concept')",same-as
"('exceso', 'Predicate', 'glucosa', 'Concept')",domain
"('permanece', 'Action', 'exceso', 'Predicate')",subject
"('permanece', 'Action', 'sangre', 'Concept')",target
"('insulina', 'Concept', 'permanece', 'Action')",causes
"('válvulas', 'Concept', 'corazón', 'Concept')",in-place
"('cámaras', 'Concept', 'corazón', 'Concept')",in-place
"('funcionan', 'Action', 'cámaras', 'Concept')",subject
"('funcionan', 'Action', 'bien', 'Concept')",in-context
"('muestran', 'Action', 'funcionan', 'Action')",target
"('funcionan', 'Action', 'válvulas', 'Concept')",subject
"('nariz', 'Concept', 'niño', 'Concept')",in-context
"('garganta', 'Concept', 'niño', 'Concept')",in-context
"('permanecen', 'Action', 'gérmenes', 'Concept')",subject
"('permanecen', 'Action', 'nariz', 'Concept')",in-place
"('enferme', 'Action', 'niño', 'Concept')",target
"('permanecen', 'Action', 'enferme', 'Action')",entails
"('permanecen', 'Action', 'garganta', 'Concept')",in-place
"('algunas', 'Predicate', 'adherencias', 'Concept')",domain
"('desaparecen', 'Action', 'algunas', 'Predicate')",target
"('rica', 'Predicate', 'sangre', 'Concept')",domain
"('rica', 'Predicate', 'oxígeno', 'Concept')",arg
"('flujo', 'Action', 'rica', 'Predicate')",target
"('limita', 'Action', 'eso', 'Reference')",subject
"('limita', 'Action', 'flujo', 'Action')",target
"('cuerpo', 'Concept', 'persona', 'Concept')",in-place
"('penetra', 'Action', 'cmv', 'Concept')",subject
"('permanece', 'Action', 'siempre', 'Concept')",in-time
"('penetra', 'Action', 'cuerpo', 'Concept')",target
"('penetra', 'Action', 'permanece', 'Action')",entails
"('permanece', 'Action', 'cmv', 'Concept')",subject
"('dolor', 'Action', 'cabeza', 'Concept')",target
"('malestar', 'Concept', 'estomacal', 'Concept')",in-context
"('fiebre', 'Concept', 'síntomas', 'Concept')",is-a
"('escalofríos', 'Concept', 'síntomas', 'Concept')",is-a
"('dolor', 'Action', 'síntomas', 'Concept')",is-a
"('malestar', 'Concept', 'síntomas', 'Concept')",is-a
"('vómitos', 'Concept', 'síntomas', 'Concept')",is-a
"('electrónico', 'Concept', 'dispositivo', 'Concept')",in-context
"('pequeño', 'Concept', 'dispositivo', 'Concept')",in-context
"('complejo', 'Concept', 'dispositivo', 'Concept')",in-context
"('implante coclear', 'Concept', 'dispositivo', 'Concept')",is-a
"('ayudar', 'Action', 'audición', 'Concept')",target
"('ayudar', 'Action', 'implante coclear', 'Concept')",subject
"('cantidad', 'Predicate', 'vitamina d', 'Concept')",arg
"('necesita', 'Action', 'cantidad', 'Predicate')",target
"('depende', 'Action', 'cantidad', 'Predicate')",subject
"('cada', 'Predicate', 'día', 'Concept')",domain
"('necesita', 'Action', 'cada', 'Predicate')",in-time
"('depende', 'Action', 'edad', 'Concept')",target
"('profesionales', 'Concept', 'salud', 'Concept')",in-context
"('tienen', 'Action', 'profesionales', 'Concept')",subject
"('listas', 'Concept', 'hitos', 'Concept')",in-context
"('determinar', 'Action', 'listas', 'Concept')",subject
"('determinar', 'Action', 'normal', 'Concept')",target
"('tienen', 'Action', 'determinar', 'Action')",target
"('lavar', 'Action', 'cabello', 'Concept')",target
"('cabello', 'Concept', 'bebé', 'Concept')",in-place
"('lavar', 'Action', 'todos', 'Predicate')",in-time
"('todos', 'Predicate', 'días', 'Concept')",domain
"('lavar', 'Action', 'champú', 'Concept')",in-context
"('champú', 'Concept', 'suave', 'Concept')",in-context
"('cuero cabelludo', 'Concept', 'bebé', 'Concept')",in-context
"('frotar', 'Action', 'suavemente', 'Concept')",in-context
"('frotar', 'Action', 'cuero cabelludo', 'Concept')",target
"('cepillo', 'Concept', 'suave', 'Concept')",in-context
"('frotar', 'Action', 'dedos', 'Concept')",subject
"('frotar', 'Action', 'cepillo', 'Concept')",subject
